,Code,Description1
5178,G0526001003,"Management of established patient-caregiver dyad with dementia, high"
5179,G0526002004,"complexity, for use in cmmi model"
5180,G0527001003,"Management of established patient with dementia, low complexity, for use in"
5181,G0527002004,cmmi model
5182,G0528001003,"Management of established patient with dementia, moderate to high complexity,"
5183,G0528002004,for use in cmmi model
5184,G0529001003,"In-home respite care, 4-hour unit, for use in cmmi model"
5185,G0530001003,"Adult day center, 8-hour unit, for use in cmmi model"
5186,G0531001003,"Facility-based respite, 24-hour unit, for use in cmmi model"
5187,G0532001003,"Take-home supply of nasal nalmefene hydrochloride; one carton of two, 2.7 mg"
5188,G0532002004,per 0.1 ml nasal sprays (provision of the services by a medicare-enrolled
5189,G0532003004,opioid treatment program);( list separately in addition to each primary code)
5190,G0533001003,"Medication assisted treatment, buprenorphine (injectable) administered on a"
5191,G0533002004,"weekly basis; weekly bundle including dispensing and/or administration,"
5192,G0533003004,"substance use counseling, individual and group therapy, and toxicology testing"
5193,G0533004004,if performed (provision of the services by a medicare-enrolled opioid treatment
5194,G0533005004,program)
5195,G0534001003,"Coordinated care and/or referral services, such as to adequate and accessible"
5196,G0534002004,"community resources to address unmet health-related social needs, including"
5197,G0534003004,harm reduction interventions and recovery support services a patient needs and
5198,G0534004004,"wishes to pursue, which significantly limit the ability to diagnose or treat an"
5199,G0534005004,opioid use disorder; each additional 30 minutes of services (provision of the
5200,G0534006004,services by a medicare-enrolled opioid treatment program); (list separately in
5201,G0534007004,addition to each primary code)
5202,G0535001003,"Patient navigational services, provided directly or by referral; including"
5203,G0535002004,helping the patient to navigate health systems and identify care providers and
5204,G0535003004,"supportive services, to build patient self-advocacy and communication skills"
5205,G0535004004,"with care providers, and to promote patient-driven action plans and goals; each"
5206,G0535005004,additional 30 minutes of services (provision of the services by a
5207,G0535006004,medicare-enrolled opioid treatment program); (list separately in addition to
5208,G0535007004,each primary code)
5209,G0536001003,"Peer recovery support services, provided directly or by referral; including"
5210,G0536002004,"leveraging knowledge of the condition or lived experience to provide support,"
5211,G0536003004,"mentorship, or inspiration to meet oud treatment and recovery goals; conducting"
5212,G0536004004,"a person-centered interview to understand the patient's life story, strengths,"
5213,G0536005004,"needs, goals, preferences, and desired outcomes; developing and proposing"
5214,G0536006004,strategies to help meet person-centered treatment goals; assisting the patient
5215,G0536007004,in locating or navigating recovery support services; each additional 30 minutes
5216,G0536008004,of services (provision of the services by a medicare-enrolled opioid treatment
5217,G0536009004,program); (list separately in addition to each primary code)
5218,G0537001003,"Administration of a standardized, evidence-based atherosclerotic cardiovascular"
5219,G0537002004,"disease (ascvd) risk assessment, 5-15 minutes, not more often than every 12"
5220,G0537003004,months
5221,G0538001003,Atherosclerotic cardiovascular disease (ascvd) risk management services;
5222,G0538002004,clinical staff time; per calendar month
5223,G0539001003,Caregiver training in behavior management/modification for caregiver(s) of
5224,G0539002004,"patients with a mental or physical health diagnosis, administered by physician"
5225,G0539003004,"or other qualified health care professional (without the patient present),"
5226,G0539004004,face-to-face; initial 30 minutes
5227,G0540001003,Caregiver training in behavior management/modification for
5228,G0540002004,parent(s)/guardian(s)/caregiver(s) of patients with a mental or physical health
5229,G0540003004,"diagnosis, administered by physician or other qualified health care"
5230,G0540004004,"professional (without the patient present), face-to-face; each additional 15"
5231,G0540005004,minutes
5232,G0541001003,Caregiver training in direct care strategies and techniques to support care for
5233,G0541002004,patients with an ongoing condition or illness and to reduce complications
5234,G0541003004,"(including, but not limited to, techniques to prevent decubitus ulcer"
5235,G0541004004,"formation, wound care, and infection control) (without the patient present),"
5236,G0541005004,face-to-face; initial 30 minutes
5237,G0542001003,Caregiver training in direct care strategies and techniques to support care for
5238,G0542002004,patients with an ongoing condition or illness and to reduce complications
5239,G0542003004,"(including, but not limited to, techniques to prevent decubitus ulcer"
5240,G0542004004,"formation, wound care, and infection control) (without the patient present),"
5241,G0542005004,face-to-face; each additional 15 minutes (list separately in addition to code
5242,G0542006004,for primary service) (use g0542 in conjunction with g0541)
5243,G0543001003,Group caregiver training in direct care strategies and techniques to support
5244,G0543002004,care for patients with an ongoing condition or illness and to reduce
5245,G0543003004,"complications (including, but not limited to, techniques to prevent decubitus"
5246,G0543004004,"ulcer formation, wound care, and infection control) (without the patient"
5247,G0543005004,"present), face-to-face with multiple sets of caregivers"
5248,G0544001003,Post discharge telephonic follow-up contacts performed in conjunction with a
5249,G0544002004,discharge from the emergency department for behavioral health or other crisis
5250,G0544003004,"encounter, 4 calls per calendar month"
5251,G0545001003,Visit complexity inherent to hospital inpatient or observation care associated
5252,G0545002004,with a confirmed or suspected infectious disease by an infectious diseases
5253,G0545003004,"specialist, including disease transmission risk assessment and mitigation,"
5254,G0545004004,"public health investigation, analysis, and testing, and complex antimicrobial"
5255,G0545005004,"therapy counseling and treatment (add-on code, list separately in addition to"
5256,G0545006004,"hospital inpatient or observation evaluation and management visit, initial,"
5257,G0545007004,"same day discharge, subsequent or discharge)"
5258,G0546001003,Interprofessional telephone/internet/electronic health record assessment and
5259,G0546002004,management service provided by a practitioner in a specialty   whose covered
5260,G0546003004,services are limited by statute to services for the diagnosis and treatment of
5261,G0546004004,"mental illness, including a verbal and written report to the patient's"
5262,G0546005004,treating/requesting practitioner; 5-10 minutes of medical consultative
5263,G0546006004,discussion and review
5264,G0547001003,Interprofessional telephone/internet/electronic health record assessment and
5265,G0547002004,management service provided by a practitioner in a specialty whose covered
5266,G0547003004,services are limited by statute to services for the diagnosis and treatment of
5267,G0547004004,"mental illness, including a verbal and written report to the patient's"
5268,G0547005004,treating/requesting practitioner; 11-20 minutes of medical consultative
5269,G0547006004,discussion and review
5270,G0548001003,Interprofessional telephone/internet/electronic health record assessment and
5271,G0548002004,management service provided by a practitioner in a specialty whose covered
5272,G0548003004,services are limited by statute to services for the diagnosis and treatment of
5273,G0548004004,"mental illness, including a verbal and written report to the patient's"
5274,G0548005004,treating/requesting practitioner; 21-30 minutes of medical consultative
5275,G0548006004,discussion and review
5276,G0549001003,Interprofessional telephone/internet/electronic health record assessment and
5277,G0549002004,management service provided by a practitioner in a specialty whose covered
5278,G0549003004,services are limited by statute to services for the diagnosis and treatment of
